name,lat,lng,popup,icon,status
観光本陣,35.286983,140.244437,<img src="common/img/photo/otaki_kankohonjin.jpg"><br>大多喜町　観光本陣,common/img/photo/otaki_kankohonjin_thumbnail.jpg,photo
大多喜駅,35.287003,140.244306,<b>大多喜駅</b><br>羽田空港・品川-大多喜　直通高速バス<br>【発】<br>6:15<br>8:30<br>11:15<br>16:25<br>18:10<br>20:55<br><br>【着】<br>7:45<br>10:25<br>15:05<br>17:45<br>20:10<br>22:55,common/img/icon/bus01.png,
大多喜（オリブ）,35.289175,140.253801,<b>大多喜（オリブ）</b><br>羽田空港・品川-大多喜　直通高速バス<br>【発】<br>6:20<br>8:35<br>11:20<br>16:30<br>18:15<br>21:00<br><br>【着】<br>7:40<br>10:20<br>15:00<br>17:40<br>20:05<br>22:50,common/img/icon/bus01.png,
三育学院大学,35.241711,140.264235,<b>三育学院大学）</b><br>→道の駅→ResortView大多喜→ショッピングセンターオリブ→大多喜駅→大多喜城→大多喜駅→丘の上バラ園→大多喜ハーブガーデン→大多喜駅<br>【発】<br>8:00<br>10:05<br>13:15<br>15:15<br>17:15,common/img/icon/bus02.png,
道の駅たけゆらの里おおたき,35.254779,140.258903,<b>道の駅たけゆらの里おおたき</b><br>→ResortView大多喜→ショッピングセンターオリブ→大多喜駅→大多喜城→大多喜駅→丘の上バラ園→大多喜ハーブガーデン→大多喜駅<br>【発】<br>8:05<br>10:10<br>13:20<br>15:20<br>17:20<br><br>→三育学院大学<br>【発】<br>9:10<br>11:15<br>14:15<br>16:15<br>18:15,common/img/icon/bus02.png,
Resort View大多喜,35.281737,140.252082,<b>Resort View大多喜</b><br>→ショッピングセンターオリブ→大多喜駅→大多喜城→大多喜駅→丘の上バラ園→大多喜ハーブガーデン→大多喜駅<br>【発】<br>8:110<br>10:16<br>13:26<br>17:26<br><br>→道の駅→三育学院大学<br>【発】<br>9:04<br>11:09<br>14:09<br>16:09<br>18:09,common/img/icon/bus02.png,
ショップンプラザオリブ・ニコニコレンタカー,35.289168,140.253694,<b>ショップンプラザオリブ・ニコニコレンタカー</b><br>→大多喜駅→大多喜城→大多喜駅→丘の上バラ園→大多喜ハーブガーデン→大多喜駅<br>【発】<br>8:15<br>10:30<br>13:30<br>15:30<br>17:30<br><br>→ResortView大多喜→道の駅→三育学院大学<br>【発】<br>9:00<br>11:05<br>14:05<br>16:05<br>18:05,common/img/icon/bus02.png,
大多喜駅（観光センター側）,35.286830,140.244317,<b>大多喜駅（観光センター側）</b><br>→大多喜城<br>【発】<br>8:20<br>10:35<br>13:35<br>17:35<br><br>→ショッピングセンターオリブ→ResortView大多喜→道の駅→三育学院大学<br>【発】<br>8:55<br>11:00<br>14:00<br>16:00<br>18:00,common/img/icon/bus02.png,
大多喜城,35.285564,140.236461,<b>大多喜城</b><br>→大多喜駅→丘の上バラ園→大多喜ハーブガーデン<br>【発】<br>8:33<br>10:38<br>13:38<br>15:38<br>17:38,common/img/icon/bus02.png,
大多喜駅(駅側）,35.287053,140.244172,<b>大多喜駅(駅側）</b><br>→丘の上バラ園→大多喜ハーブガーデン<br>【発】<br>8:36<br>10:41<br>13:41<br>15:41<br>17:41,common/img/icon/bus02.png,
丘の上バラ園,35.307289,140.243383,<b>丘の上バラ</b><br>→大多喜ハーブガーデン→大多喜駅→ショッピングセンターオリブ→ResortView大多喜→道の駅→三育学院大学<br>【発】<br>8:41<br>10:46<br>13:46<br>15:46<br>17:46,common/img/icon/bus02.png,
大多喜ハーブガーデン,35.310608,140.244529,<b>大多喜ハーブガーデン</b><br>→大多喜駅→ショッピングセンターオリブ→ResortView大多喜→道の駅→三育学院大学<br>【発】<br>8:45<br>10:50<br>13:50<br>15:50<br>17:50,common/img/icon/bus02.png,
